cat_name,cat_age,cat_gender,cat_size,cat_breed,cat_image
Trisie Beiji,Adult,Female,Large,local,Trisie Beiji.jpg
Trisi Sukmajaya,Young,Female,Large,local,Trisi Sukmajaya.jpg
Uli,Young,Female,Large,local,Uli.jpg
Chika,Adult,Female,Large,local,Chika.jpg
Cookies,Young,female,Large,local,Cookies.jpg
Merdeka,Adult,female,Large,local,Merdeka
Paper,Adult,female,Large,local,Paper
Biru,Young,female,Large,local,Biru.jpg
Sikunyit,Adult,female,Large,local,Sikunyit.jpg
Kuro FE UI,Young,female,Large,local,Kuro FE UI.jpg
Aprilio,Adult,male,Large,local mix,Aprilio.jpg
Loci,Senior,female,Large,local,Loci.jpg
Klinika,Young,female,Large,local,Klinika.jpg
Noni,Young,female,Large,persia mix,Klinika.jpg
Mimi,Baby ,female,Small,Local,Mimi.jpg
Rere,Baby ,female,Small,local,Rere.jpg
Ucil,Baby ,male,Small,local,Ucil.JPG
Chandra,Young,male,medium,local,Chandra.JPG
Odin,Adult,female,medium,local,Odin.jpeg
Bumi,Young,female,Large,local,Bumi.JPG
Venus,Baby ,female,small,local,Venus.JPG
Mars,Baby ,female,small,local,Mars.JPG
Bulan,Baby ,female,small,local,Bulan.JPG
Embul ,Baby ,female,Large,local,Embul.JPG
Beam,Adult,female,Large,local,Beam.JPG
Pangpong,Baby ,female,small,local,Pangpong.JPG
Cope,Adult,female,Large,local,Cope.JPG
Cipul,Young,male,Large,local,Cipul.JPG
Dwi,Young,female,Large,local,Dwi.JPG
Titi,Adult,female,Large,local,Titi.jpg
Dodo,Young,female,small,local,Dodo.jpg
Yati,Young,female,Large,local,Yati.jpg
Iming,Young,female,Large,local,Iming.jpg
Nginden,Adult,female,Large,local,Nginden.jpg
Bubub,Adult,male,Large,local,Bubub.jpg
Desi,Young,female,Large,local,Desi.jpg
Duren,Young,female,Large,local,Duren.jpg
Bejo,Adult,male,Large,local,Bejo.jpg
Maisy,Young,female,Large,local,maisy.jpg
Snow,Young,female,medium,local,Snow.jpg
