Name;Age;Gender;Size;Breed;Image
Trisie Beiji;Adult;Female;Large;Local;Trisie Beiji.jpg
Trisi Sukmajaya;Young;Female;Large;Local;Trisi Sukmajaya.jpg
Uli;Young;Female;Large;Local;Uli.jpg
Chika;Adult;Female;Large;Local;Chika.jpg
Cookies;Young;female;Large;Local;Cookies.jpg
Merdeka;Adult;female;Large;Local;Merdeka
Paper;Adult;female;Large;Local;Paper
Biru;Young;female;Large;Local;Biru.jpg
Sikunyit;Adult;female;Large;Local;Sikunyit.jpg
Kuro FE UI;Young;female;Large;Local;Kuro FE UI.jpg
Aprilio;Adult;male;Large;Local Mix;Aprilio.jpg
Loci;Senior;female;Large;Local;Loci.jpg
Klinika;Young;female;Large;local;Klinika.jpg
Noni;Young;female;Large;persia mix;Klinika.jpg
Mimi;Baby ;female;Small;Local;Mimi.jpg
Rere;Baby ;female;Small;local;Rere.jpg
Ucil;Baby ;male;Small;local;Ucil.JPG
Chandra;Young;male;medium;local;Chandra.JPG
Odin;Adult;female;medium;local;Odin.jpeg
Bumi;Young;female;Large;local;Bumi.JPG
Venus;Baby ;female;small;local;Venus.JPG
Mars;Baby ;female;small;local;Mars.JPG
Bulan;Baby ;female;small;local;Bulan.JPG
Embul ;Baby ;female;Large;local;Embul.JPG
Beam;Adult;female;Large;local;Beam.JPG
Pangpong;Baby ;female;small;local;Pangpong.JPG
Cope;Adult;female;Large;local;Cope.JPG
Cipul;Young;male;Large;local;Cipul.JPG
Dwi;Young;female;Large;local;Dwi.JPG
Titi;Adult;female;Large;local;Titi.jpg
Dodo;Young;female;small;local;Dodo.jpg
Yati;Young;female;Large;local;Yati.jpg
Iming;Young;female;Large;local;Iming.jpg
Nginden;Adult;female;Large;local;Nginden.jpg
Bubub;Adult;male;Large;local;Bubub.jpg
Desi;Young;female;Large;local;Desi.jpg
Duren;Young;female;Large;local;Duren.jpg
Bejo;Adult;male;Large;local;Bejo.jpg
Maisy;Young;female;Large;local;maisy.jpg
Snow;Young;female;medium;local;Snow.jpg
